index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",id,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-07 00:00:00",84733,84733,46220,238488,238488,w1,w1,"2015-07-07 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Limited,Available,Limited,150%,110%,125%,"Above Trend","On Target","On Target","07/08 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",168,1,1,1,1
"2015-07-08 00:00:00",23109,23109,23109,23109,269300,w2,w2,"2015-07-08 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"Above Trend","On Target","Above Trend","07/09 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",194,1,1,0,0
"2015-07-09 00:00:00",0,61717,0,0,0,w3,w2,"2015-07-09 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-15 00:00:00",0,1,0,0,0
"2015-07-10 00:00:00",38513,38513,38513,123339,369530,w3,w2,"2015-07-10 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Limited,Available,Available,150%,110%,125%,"On Target","On Target","On Target","07/11 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",220,0,1,0,0
"2015-07-11 00:00:00",15358,15358,7654,138697,384888,w3,w2,"2015-07-11 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","On Target","07/12 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",246,0,1,0,0
"2015-07-12 00:00:00",15606,15606,15606,154303,400494,w3,w2,"2015-07-12 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"On Target","On Target","On Target","07/13 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",272,0,1,0,0
"2015-07-13 00:00:00",38514,38514,38514,192817,439008,w3,w2,"2015-07-13 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Limited,Available,Available,150%,110%,125%,"On Target","On Target","On Target","07/14 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",298,0,1,0,0
"2015-07-14 00:00:00",92343,92343,92343,285160,531351,w3,w2,"2015-07-14 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Out,Available,Limited,150%,110%,125%,"Above Trend","On Target","On Target","07/15 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-15 00:00:00",324,0,1,0,0
"2015-07-15 00:00:00",61720,61720,61720,61720,593071,w4,w3,"2015-07-15 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Low,Available,Available,150%,110%,125%,"Above Trend","Above Trend","Above Trend","07/16 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-22 00:00:00",350,1,1,0,0
"2015-07-16 00:00:00",30812,30812,30812,92532,623883,w4,w3,"2015-07-16 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"On Target","Above Trend","Above Trend","07/17 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-22 00:00:00",376,1,1,0,0
