index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-23 00:00:00",24100,24100,0,99051,0,w5,w4,"2015-07-23 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,144986,NULL,NULL,Unknown,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-24 00:00:00",29350,29350,0,128401,0,w5,w4,"2015-07-24 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Limited,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-25 00:00:00",15100,15100,0,15100,0,w6,w5,"2015-07-25 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-26 00:00:00",0,0,0,15100,0,w6,w5,"2015-07-26 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,0,0,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-27 00:00:00",14500,14500,0,29600,0,w6,w5,"2015-07-27 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,287179,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-28 00:00:00",11601,11601,0,41201,0,w6,w5,"2015-07-28 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,287179,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-29 00:00:00",15000,15000,0,56201,0,w6,w5,"2015-07-29 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,287179,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-30 00:00:00",22551,22551,0,78752,0,w6,w5,"2015-07-30 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,287179,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-31 00:00:00",7601,7601,0,86353,0,w6,w5,"2015-07-31 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,287179,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-08-01 00:00:00",1,1,0,0
"2015-07-01 00:00:00",38001,38001,38001,184781,0,w1,w1,"2015-07-01 00:00:00","HIGH VOLUME TRUCK STOP","CA - Barstow-Colton KM","CA CARB ULSD",0,NULL,0,0,0,60412,NULL,265808,Available,NULL,Limited,,NULL,,,NULL,,"07/02 00:00:00 PDT",NULL,0,"2015-07-04 00:00:00",1,1,0,0
